Date,Region,Account_ID,Scenario,Amount
2025-11-01,EMEA,304,Budget,-35391.0
2025-05-01,EMEA,202,Actual,-25530.41
2024-12-01,LATAM,101,Budget,12178.0
2024-03-01,APAC,302,Actual,-9066.63
2024-01-01,NAM,101,Budget,12423.0
2025-07-01,EMEA,303,Actual,-11628.21
2024-10-01,EMEA,304,Budget,-22894.0
2024-07-01,NAM,303,Budget,-8575.0
2025-04-01,EMEA,303,Actual,-40323.86
2025-03-01,EMEA,304,Actual,-13992.81
2025-01-01,NAM,303,Actual,-41696.88
2025-10-01,EMEA,303,Budget,-45013.0
2025-06-01,LATAM,302,Actual,-12741.26
2025-03-01,APAC,101,Actual,36308.72
2024-01-01,LATAM,301,Budget,-47104.0
2025-09-01,NAM,201,Budget,-26851.0
2025-02-01,EMEA,102,Budget,11508.0
2025-04-01,NAM,303,Actual,-29405.92
2024-01-01,NAM,302,Actual,-9423.73
2024-01-01,APAC,304,Actual,-12843.04
2025-01-01,NAM,202,Actual,-6591.49
2024-05-01,APAC,301,Budget,-43706.0
2024-07-01,APAC,102,Budget,25872.0
2024-02-01,NAM,101,Budget,44326.0
2024-07-01,LATAM,301,Budget,-10384.0
2024-07-01,EMEA,301,Actual,-35134.25
2024-06-01,EMEA,202,Actual,-18628.95
2024-03-01,APAC,201,Budget,-41217.0
2024-05-01,EMEA,302,Actual,-7362.06
2025-07-01,NAM,202,Actual,-30530.08
2024-04-01,EMEA,302,Actual,-10583.34
2025-09-01,NAM,302,Budget,-34542.0
2025-09-01,EMEA,304,Actual,-51782.07
2025-12-01,APAC,101,Budget,43612.0
2024-12-01,EMEA,302,Actual,-38876.04
2024-12-01,NAM,302,Budget,-41713.0
2025-03-01,NAM,301,Actual,-41328.52
2025-05-01,LATAM,302,Budget,-45693.0
2024-12-01,LATAM,101,Budget,16430.0
2025-03-01,EMEA,202,Budget,-41683.0
2024-04-01,EMEA,301,Budget,-49403.0
2024-09-01,EMEA,303,Actual,-13931.65
2025-02-01,EMEA,303,Budget,-7173.0
2024-04-01,APAC,201,Actual,-37217.31
2025-07-01,LATAM,201,Budget,-6233.0
2024-08-01,APAC,202,Actual,-24720.79
2024-05-01,NAM,102,Actual,18066.41
2025-02-01,NAM,301,Budget,-9307.0
2024-12-01,APAC,301,Budget,-29351.0
2024-09-01,LATAM,301,Actual,-35453.62
2025-08-01,EMEA,101,Budget,49414.0
2025-02-01,NAM,201,Actual,-42204.67
2024-03-01,EMEA,303,Actual,-22589.98
2025-03-01,APAC,303,Budget,-8800.0
2024-03-01,NAM,304,Budget,-23557.0
2025-02-01,NAM,302,Actual,-17190.83
2025-12-01,EMEA,301,Actual,-7402.69
2024-06-01,EMEA,102,Actual,37351.84
2024-10-01,APAC,304,Actual,-40603.41
2024-01-01,APAC,202,Actual,-47278.05
2024-09-01,EMEA,201,Budget,-35968.0
2024-03-01,LATAM,202,Actual,-21646.73
2025-07-01,APAC,201,Actual,-25212.94
2024-10-01,EMEA,201,Actual,-17658.66
2025-11-01,NAM,302,Budget,-33653.0
2024-05-01,APAC,303,Budget,-32437.0
2025-08-01,EMEA,304,Budget,-40395.0
2024-12-01,LATAM,101,Actual,32274.21
2024-10-01,NAM,303,Budget,-16550.0
2024-10-01,APAC,303,Budget,-39052.0
2024-05-01,APAC,202,Budget,-36596.0
2024-11-01,LATAM,303,Budget,-44391.0
2025-10-01,NAM,304,Budget,-36125.0
2024-11-01,NAM,302,Actual,-28339.52
2025-12-01,APAC,202,Budget,-33060.0
2025-02-01,LATAM,303,Actual,-34056.73
2025-05-01,APAC,202,Actual,-14103.22
2024-06-01,EMEA,301,Budget,-39132.0
2024-03-01,LATAM,301,Budget,-45809.0
2024-07-01,APAC,201,Budget,-11619.0
2025-08-01,EMEA,302,Budget,-45806.0
2025-06-01,APAC,101,Actual,13109.93
2025-12-01,EMEA,102,Budget,6822.0
